album_name,composer,director,orchestra,solist,instrument,obra_type,nota,obra_number,opus_number,cd_number
,"BACH, JOHAN C.- 1735/1782","MELKUS, EDOUARD","CAPELLA ACADEMICA WEIN","HAEBLER, INGRID","PIANO","CONCIERTO","DO MAYOR",1,7,0,0,107,4,09/01/94
,"BACH, JOHAN C.- 1735/1782","MELKUS, EDOUARD","CAPELLA ACADEMICA WEIN","HAEBLER, INGRID","PIANO","CONCIERTO","FA MAYOR",2,7,,,107,4,09/01/94
,"BACH, JOHAN C.- 1735/1782","MELKUS, EDOUARD","CAPELLA ACADEMICA WEIN","HAEBLER, INGRID","PIANO","CONCIERTO","RE MAYOR",3,7,,,107,4,09/01/94
,"BACH, JOHAN C.- 1735/1782","MELKUS, EDOUARD","CAPELLA ACADEMICA WEIN","HAEBLER, INGRID","PIANO","CONCIERTO","SI MAYOR",4,13,,,107,4,09/01/94
,"BACH, JOHAN C.- 1735/1782",,"CAMERATA BARILOCHE","MENDEZ, EKE","PIANO","CONCIERTO","SI BEMOL MENOR",,0,,,97,201,09/01/94
,"BACH, JOHAN C.- 1735/1782",,,"PERLMAN-ZUKERMAN-EDDY-SANDERS","VIOLIN, CELLO Y CLAVICORDIO","SONATA","SI BEMOL",,0,,,152,274,09/01/94
"TRES PIEZAS PARA ORQUESTA","BERG, ALBAN - 1885/1935","DAVIS, COLIN SIR","SINFONICA DE LA RADIO BAVIERA",,,"PIEZA",,,6,,,92,,09/01/94
,"BERG, ALBAN - 1885/1935","OZAWA, SEIJI","SINFONICA DE BOSTON","PERLMAN, ITZHAK","VIOLIN","CONCIERTO",,,0,,,92,27,09/01/94
,"BACH, CARL PH. E.-1714/1788",,,"PERLMAN-ZUKERMAN-EDDY-SANDERS","VIOLIN, CELLO Y CLAVICORDIO","SONATA","SOL",,0,,,152,274,09/01/94
,"BARTOK, BELA - 1881/1945","DAVIS, COLIN SIR","SINFONICA DE LA BBC","KOVACEVICH, STEPHEN","PIANO","CONCIERTO",,2,0,,,17,26,09/01/94
,"BARTOK, BELA - 1881/1945","DAVIS, COLIN SIR","SINFONICA DE LA BBC","KOVACEVICH, S. Y ARGERICH, M.","2 PIANOS Y PERCUSION","SONATA",,,0,,,17,26,09/01/94
"RUMANAS 1 Y 6","BARTOK, BELA - 1881/1945",,,"MENUHIN, YEHUDI","VIOLIN","DANZAS",,,8,,,60,67,09/01/94
,"BARTOK, BELA - 1881/1945","HAITINK, BERNARD","DE CONCIERTOS DE AMSTERDAM","SZERING, HENRY","VIOLIN","RAPSODIA",,1,0,,,15,11,09/01/94
,"BARTOK, BELA - 1881/1945","BOULEZ, PIERRE","FILARMONICA DE NUEVA YORK",,"ORQUESTA","CONCIERTO",,,0,,,105,25,09/01/94
"EL MANDARIN MARAVILLOSO","BARTOK, BELA - 1881/1945","DORATTI, ANTAL","SINFONICA DE DETROIT",,,"SUITE",,,19,,,,313,09/01/94
"SZ 113","BARTOK, BELA - 1881/1945",,"ORPHEUS CHAMBER ORCHESTRA",,"CUERDAS","DIVERTIMENTO",,,0,,,124,,09/01/94
"POPULARES RUMANAS","BARTOK, BELA - 1881/1945",,"ORPHEUS CHAMBER ORCHESTRA",,,"DANZAS",,,0,,,200,343,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","KARAJAN, HERBERT VON","FILARMONICA DE BERLIN",,,"SINFONIA","DO MAYOR",1,21,,,10,999,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","KARAJAN, HERBERT VON","FILARMONICA DE BERLIN",,,"SINFONIA","RE MAYOR",2,36,,,9,999,09/01/94
"HEROICA","BEETHOVEN, LUDWIG VAN-1770/1827","KARAJAN, HERBERT VON","FILARMONICA DE BERLIN",,,"SINFONIA","MI BEMOL MAYOR",3,55,,,14,999,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","KARAJAN, HERBERT VON","FILARMONICA DE BERLIN",,,"SINFONIA","SI BEMOL MAYOR",4,60,,,14,999,09/01/94
"DEL DESTINO","BEETHOVEN, LUDWIG VAN-1770/1827","KARAJAN, HERBERT VON","FILARMONICA DE BERLIN",,,"SINFONIA","DO MENOR",5,67,,,54,999,09/01/94
"PASTORAL","BEETHOVEN, LUDWIG VAN-1770/1827","KARAJAN, HERBERT VON","FILARMONICA DE BERLIN",,,"SINFONIA","FA MAYOR",6,68,,,54,999,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","KARAJAN, HERBERT VON","FILARMONICA DE BERLIN",,,"SINFONIA","LA MAYOR",7,92,,,11,999,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","KARAJAN, HERBERT VON","FILARMONICA DE BERLIN",,,"SINFONIA","FA MAYOR",8,93,,,13,999,09/01/94
"CORAL","BEETHOVEN, LUDWIG VAN-1770/1827","KARAJAN, HERBERT VON","FILARMONICA DE BERLIN",,,"SINFONIA","RE MENOR",9,125,,,16,999,09/01/94
"TURCA DE LAS RUINAS DE ATENAS","BEETHOVEN, LUDWIG VAN-1770/1827","ORMANDY, EUGENE","DE FILADELFIA",,,"MARCHA",,,0,,,5,99,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,"DE CAMARA ROMANA","ROTTMANN, WOLF","PIANO","CONCIERTO","DO MAYOR",1,15,,,12,13,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,"DE CAMARA ROMANA","ROTTMANN, WOLF","PIANO","CONCIERTO","SI BEMOL MAYOR",2,19,,,12,13,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","PITAMIC, ALEX VON","SINFONICA DE MUNICH","LANG, PETER","PIANO","CONCIERTO","DO MENOR",3,37,,,,14,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","SZELL, GEORGE","DE CLEVELAND","FLEISHER, LEON","PIANO","CONCIERTO","SOL MAYOR",4,58,,,111,12,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","GAMBA, PIERINO","SINFONICA DE LONDRES","KATCHEN, JULIUS","PIANO","CONCIERTO","MI BEMOL MAYOR",5,73,,,,15,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","BERSTEIN, LEONARD","FILARMONICA DE NUEVA YORK","SERKIN, RUDOLF","PIANO","CONCIERTO","MI BEMOL MAYOR",5,73,,,59,18,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","KLEMPERER, OTTO","NEW PHILHARMONIA DE LONDRES","MENUHIN, YEHUDI","VIOLIN","CONCIERTO","RE MAYOR",,61,,,9,16,09/01/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","INBAL, ELIAHU","NEW PHILHARMONIA","ARRAU,C.-SZERING H.-STARKER J.","PIANO, VIOLIN Y CELLO","TRIPLE CONCIERTO","DO MAYOR",,56,,,15,19,09/01/94
"EGMONT","BEETHOVEN, LUDWIG VAN-1770/1827","GAMBA, PIERINO","SINFONICA DE LONDRES",,,"OBERTURA",,,84,,,113,15,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827",,,"MENUHIN, Y. Y KEMPFF, W.","VIOLIN Y PIANO","RONDO","SOL MAYOR",,41,,,60,67,09/04/94
"SE VUOL BALLARE (MOZART)","BEETHOVEN, LUDWIG VAN-1770/1827",,,"MENUHIN, Y. Y KEMPFF, W.","VIOLIN Y PIANO","VARIACIONES","FA MAYOR",,40,,,,21,09/04/94
"FIDELIO","BEETHOVEN, LUDWIG VAN-1770/1827","KLEMPERER, OTTO","Y CORO PHILHARMONIA DE LONDRES",,,"OPERA",,,72,,,,999,09/04/94
,"BEETHOVEN, LUDWIG VAN-1770/1827","KLEMPERER, OTTO","NEW PHILHARMONIA DE LONDRES","MENUHIN, YEHUDI","VIOLIN","CONCIERTO","RE MAYOR",,61,,,9,17,09/04/94
"PATETICA","BEETHOVEN, LUDWIG VAN-1770/1827",,,"KEMPFF, WILHELM","PIANO","SONATA","DO MENOR",8,13,,,,24,09/04/94
